title,url,price
2017 Toyota Corolla Altis 1.8 (ปี 14-18) ESPORT Sedan - AT,https://www.one2car.com/for-sale/toyota-corolla-altis-esport-กรุงเทพและปริมณฑล-ปิ่นเกล้า-ถนนบรมราชชนนี/11544915,485000
2014 BMW X1 2.0 E84 (ปี 09-15) sDrive18i xLine SUV,https://www.one2car.com/for-sale/bmw-x1-sdrive18i-xline-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11850077,569000
2014 Mercedes-Benz E200 2.0 W207 (ปี 10-16) AMG Dynamic Coupe,https://www.one2car.com/for-sale/mercedes-benz-e200-amg-dynamic-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11389607,1470000
2019 Honda CR-V 1.6 (ปี 17-21) DT EL SUV - 4WD,https://www.one2car.com/for-sale/honda-cr-v-dt-el-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11426119,949000
2014 Toyota Yaris 1.2 (ปี 13-17) E Hatchback - AT,https://www.one2car.com/for-sale/toyota-yaris-e-ภาคตะวันออก-อำเภอขลุง/11356504,335000
2020 Ford Ranger 2.0 DOUBLE CAB (ปี 15-21) Raptor Pickup - 4WD,https://www.one2car.com/for-sale/ford-ranger-raptor-กรุงเทพและปริมณฑล-กาญจนาภิเษก/10913264,1090000
2015 Nissan Almera 1.2 (ปี 11-19) V Sedan,https://www.one2car.com/for-sale/nissan-almera-v-กรุงเทพและปริมณฑล-อำเภอเมืองสมุทรปราการ/11652529,269000
2019 Nissan NP 300 Navara 2.5 DOUBLE CAB Calibre EL Pickup - AT,https://www.one2car.com/for-sale/nissan-np-300-navara-calibre-el-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/11505752,589000
2017 Mazda CX-5 2.0 (ปี 13-16) S SUV - AT,https://www.one2car.com/for-sale/mazda-cx-5-s-กรุงเทพและปริมณฑล-บางนา-กิ่งแก้ว-ลาดกระบัง/11552012,579000
2019 BMW 320d 2.0 F34 (ปี 13-16) Gran Turismo Sedan - AT,https://www.one2car.com/for-sale/bmw-320d-gran-turismo-กรุงเทพและปริมณฑล-สุขุมวิท/11037838,1399000
2007 Honda Civic 1.8 FD (ปี 05-12) S i-VTEC Sedan,https://www.one2car.com/for-sale/honda-civic-s-i-vtec-ภาคตะวันออก-อำเภอเมืองชลบุรี/11443037?auc=true,690000
2015 Isuzu D-Max 2.5 SPACE CAB (ปี 11-17) S Pickup,https://www.one2car.com/for-sale/isuzu-d-max-s-ภาคตะวันออก-อำเภอเมืองชลบุรี/10666098?auc=true,425000
2006 Honda Civic 1.8 FD (ปี 05-12) S i-VTEC Sedan,https://www.one2car.com/for-sale/honda-civic-s-i-vtec-ภาคตะวันออก-อำเภอเมืองชลบุรี/11315955?auc=true,185000
2006 Honda Civic 1.8 FD (ปี 05-12) S i-VTEC Sedan,https://www.one2car.com/for-sale/honda-civic-s-i-vtec-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/11819479,175000
2014 Mazda 3 2.0 (ปี 14-18) SP Sports Hatchback,https://www.one2car.com/for-sale/mazda-3-sp-sports-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/11659481,380000
2013 Mercedes-Benz E300 2.1 W212 (ปี 10-16) BLUETEC HYBRID Sedan,https://www.one2car.com/for-sale/mercedes-benz-e300-bluetec-hybrid-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/11735660,970000
2001 Mercedes-Benz E200 Kompressor 2.0 W210 (ปี 95-03) Sedan,https://www.one2car.com/for-sale/mercedes-benz-e200-kompressor-กรุงเทพและปริมณฑล-รามอินทรา-สุขาภิบาล5/11849912,175000
2021 BMW 530e 2.0 G30 (ปี 17-22) Elite Sedan,https://www.one2car.com/for-sale/bmw-530e-elite-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11850607,1989000
2014 BMW 520d 2.0 F10 (ปี 10-16) Sedan,https://www.one2car.com/for-sale/bmw-520d-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11850663,818000
2019 BMW X1 2.0 F48 (ปี 16-20) sDrive18d xLine SUV,https://www.one2car.com/for-sale/bmw-x1-sdrive18d-xline-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11850112,1049000
2019 BMW 320d 2.0 F30 (ปี 11-16) Sedan,https://www.one2car.com/for-sale/bmw-320d-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11850215,1298000
2018 Mazda CX-5 2.0 (ปี 17-23) SP SUV,https://www.one2car.com/for-sale/mazda-cx-5-sp-กรุงเทพและปริมณฑล-กาญจนาภิเษก/9248414,829000
2020 Mazda CX-8 2.2 (ปี 19-25) XDL Exclusive SUV - 4WD,https://www.one2car.com/for-sale/mazda-cx-8-xdl-exclusive-กรุงเทพและปริมณฑล-กาญจนาภิเษก/11753851,1399000
2018 Toyota C-HR 1.8 (ปี 17-21) HV Hi SUV,https://www.one2car.com/for-sale/toyota-c-hr-hv-hi-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11837074?auc=true,599900
2020 MG ZS 1.5 (ปี 17-21) D SUV,https://www.one2car.com/for-sale/mg-zs-d-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11220761,399000
2023 MG MG5 1.5 (ปี 15-18) D Sedan - 5,https://www.one2car.com/for-sale/mg-mg5-d-กรุงเทพและปริมณฑล-พัฒนาการ-พระราม9ตัดใหม่/11220770,499000
